State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Idaho,1982,"",974
Indiana,2000,203052.9,6092
Iowa,2018,189701.6,3149
Kentucky,1976,"",3529
Kentucky,1993,"",3812
Massachusetts,1967,"",5594
Montana,2003,25637.6,920
New York,1995,"",18524
North Carolina,2010,415206.4,9574
Ohio,1967,"",10414
Ohio,1968,"",10516
Tennessee,1979,"",4560
Tennessee,1990,"",4894
United States,1995,"",266278
