State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Alabama,1994,"",4260
Arkansas,2008,98955.3,2875
California,1975,"",21538
District of Columbia,2010,106120.3,605
Georgia,1990,"",6513
Hawaii,1990,"",1113
Kentucky,1985,"",3695
Louisiana,2009,206884.9,4492
Michigan,1984,"",9049
Minnesota,1991,"",4441
Mississippi,1998,60992.3,2805
Nebraska,1962,"",1464
Nebraska,1966,"",1456
New Hampshire,1995,"",1158
New Mexico,1994,"",1682
Ohio,1982,"",10757
Pennsylvania,2010,599312.8,12711
Rhode Island,1974,"",951
South Dakota,1994,"",731
Tennessee,2009,250544.4,6306
United States,1994,"",263126
West Virginia,2002,45433.7,1805
