State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Indiana,2001,204581.1,6128
Kansas,1967,"",2197
Michigan,1971,"",8974
North Dakota,1962,"",637
Ohio,1960,"",9734
Pennsylvania,1977,"",11894
