State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
California,1971,"",20346
Florida,2000,489488.1,16048
Illinois,2000,487212.7,12434
Massachusetts,1979,"",5738
Massachusetts,2004,330669.9,6412
Minnesota,1969,"",3758
Missouri,2009,251780,5961
Nevada,1984,"",925
New Jersey,1979,"",7367
New Jersey,2009,486512.8,8756
Oklahoma,1983,"",3290
Tennessee,1963,"",3718
United States,1967,"",198712
Vermont,2018,33256.3,624
Wisconsin,1971,"",4462
Wyoming,2009,36042.2,560
