State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Arkansas,1969,"",1913
California,2013,2262771.2,38261
Hawaii,1993,"",1173
Kentucky,1986,"",3688
Louisiana,2018,257287.8,4660
Maine,1970,"",997
Massachusetts,2011,425593.2,6613
Minnesota,1966,"",3617
Nevada,2001,80426.6,2098
New Jersey,1973,"",7333
North Dakota,2004,23167.8,645
Rhode Island,1988,"",996
South Dakota,2000,22690.7,756
Tennessee,1999,175819.8,5639
Texas,2014,1572818.4,26964
United States,2003,11458200,290108
Utah,1962,"",958
Utah,1983,"",1595
Utah,2011,124539.4,2814
Virginia,1976,"",5122
