State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Arizona,1960,"",1321
Georgia,1993,"",6978
Hawaii,1967,"",723
Hawaii,1996,"",1204
Idaho,1967,"",688
Idaho,2000,37992.8,1299
Illinois,1969,"",11039
Illinois,1994,"",11913
Illinois,1998,436166.7,12272
Kansas,1977,"",2321
Maryland,1977,"",4170
Massachusetts,2013,454345.7,6713
Mississippi,1980,"",2525
North Carolina,1967,"",4952
North Dakota,1972,"",631
North Dakota,1984,"",680
United States,1999,9630700,279040
United States,2013,16784900,315994
Vermont,1989,"",558
