State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Alabama,1962,"",3323
California,2001,1384111.2,34479
Florida,2001,516689.6,16357
Maine,1992,"",1239
Massachusetts,2015,502858,6794
Montana,2009,35983.9,984
Nevada,1970,"",493
Nevada,1994,"",1499
New York,1985,"",17792
North Carolina,1968,"",5004
South Carolina,1993,"",3663
Virginia,2006,379129.4,7674
Virginia,2012,444950,8185
