State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Alaska,1960,"",229
Connecticut,1985,"",3201
Hawaii,1960,"",642
Iowa,1992,"",2818
Michigan,1993,"",9540
New Mexico,1969,"",1011
New York,1961,"",17061
North Carolina,1962,"",4707
Pennsylvania,1984,"",11815
South Carolina,2011,170087.2,4671
