State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Alabama,1983,"",3934
California,2011,2050056.8,37642
Delaware,1993,"",706
District of Columbia,2006,88517.2,571
Illinois,1993,"",11810
Indiana,1994,"",5794
Mississippi,2003,73332.2,2868
Montana,2001,22851.7,907
Montana,2008,36862.5,976
Nevada,1963,"",397
New Hampshire,2007,60732.7,1313
North Carolina,1982,"",6019
North Carolina,1996,"",7501
Ohio,1988,"",10799
Ohio,2002,411967,11408
Pennsylvania,1962,"",11355
South Carolina,1995,"",3749
Vermont,1966,"",413
Wisconsin,1969,"",4378
