State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Alabama,2011,181349.8,4799
Florida,1996,"",14853
Kansas,1996,"",2615
Minnesota,1980,"",4085
North Dakota,1968,"",621
Vermont,1969,"",437
Washington,2001,239425.7,5986
Wyoming,1982,"",506
