State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Arkansas,1965,"",1894
Delaware,2009,56871.2,892
District of Columbia,1962,"",788
Florida,1960,"",5004
Illinois,2012,720702.3,12883
Kansas,1987,"",2445
Michigan,1999,337561.2,9897
Missouri,1960,"",4326
Nevada,1993,"",1411
New Hampshire,1963,"",649
North Dakota,2017,52472.3,755
Oklahoma,1974,"",2735
Oregon,1966,"",1969
Pennsylvania,2008,582240.2,12612
South Dakota,2009,36193.1,807
United States,2016,18715000,322941
