State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
California,1977,"",22352
Colorado,1977,"",2696
Delaware,2000,43389.4,786
Georgia,1979,"",5401
Georgia,2017,566473.6,10410
Hawaii,2000,41500.2,1214
Louisiana,2017,239204.3,4671
Mississippi,1990,"",2579
Missouri,1972,"",4759
Montana,2004,27939.2,930
Nebraska,1975,"",1543
New Hampshire,2012,67689.2,1324
New York,1997,718322.5,18657
North Carolina,1989,"",6565
Utah,2014,141259.7,2937
