State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Colorado,2003,196483.7,4529
Connecticut,1989,"",3283
Georgia,1975,"",5064
Iowa,1980,"",2914
Kentucky,1965,"",3140
Kentucky,1967,"",3172
Louisiana,1991,"",4253
New Hampshire,1965,"",676
Pennsylvania,2013,663900.8,12776
Rhode Island,1970,"",951
Texas,1995,"",18959
Virginia,1994,"",6593
Washington,2010,365551.9,6743
West Virginia,1965,"",1786
West Virginia,1981,"",1954
West Virginia,1989,"",1807
