State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Arizona,2008,259366.7,6280
California,1974,"",21174
California,1992,"",30975
Connecticut,2004,198662.4,3496
Florida,2009,724582.2,18653
Georgia,2000,307611.6,8227
Hawaii,1973,"",852
Hawaii,1992,"",1159
Iowa,2003,105073.5,2942
Kansas,1978,"",2336
Maryland,1971,"",4018
Michigan,1963,"",8058
Michigan,1988,"",9218
Mississippi,1997,58339.9,2777
Nebraska,1993,"",1626
North Dakota,1976,"",646
Oklahoma,2008,159660,3669
Rhode Island,1999,32295.5,1040
South Carolina,1985,"",3303
South Carolina,2016,212987.4,4958
South Dakota,1961,"",693
Texas,1993,"",18162
Wisconsin,1995,"",5185
Wyoming,1973,"",354
