State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Alaska,2013,56622.8,737
Arkansas,2003,78218.8,2725
California,2018,2997732.8,39462
Colorado,1963,"",1936
Minnesota,1962,"",3513
Minnesota,1984,"",4158
Nevada,1999,71534.9,1935
New Hampshire,1964,"",663
New Hampshire,2011,65430.5,1320
Pennsylvania,1965,"",11620
Rhode Island,1961,"",858
South Carolina,2001,119301.4,4065
