State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Alabama,1961,"",3316
Alabama,1997,104087.4,4368
Alabama,2004,146524.7,4531
Alaska,1969,"",296
Arkansas,1977,"",2209
Arkansas,2005,89610,2781
Connecticut,1973,"",3068
Georgia,1980,"",5486
Hawaii,1963,"",682
Montana,2012,42005.8,1004
Nebraska,1990,"",1582
Nevada,1988,"",1075
New Hampshire,2008,60918.7,1316
New York,1973,"",18177
North Carolina,1972,"",5301
Oklahoma,1984,"",3286
Oregon,2007,161512,3722
Vermont,1996,"",594
Wisconsin,1968,"",4345
Wisconsin,1975,"",4579
