State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Alabama,1988,"",4024
Arizona,2004,205420.8,5652
Delaware,1969,"",540
District of Columbia,1960,"",765
Louisiana,1961,"",3287
Maine,1961,"",995
Maine,1963,"",993
Mississippi,2018,114834.2,2981
Missouri,2004,214218.1,5748
Missouri,2018,318921,6122
New York,1992,"",18247
Pennsylvania,1966,"",11664
Texas,1966,"",10492
Washington,1992,"",5161
Wyoming,1978,"",433
