State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Alabama,1996,"",4331
Arizona,1991,"",3789
Arizona,1999,155344.5,5024
Iowa,1964,"",2746
Iowa,1986,"",2792
Kansas,1974,"",2269
Maine,1988,"",1204
Maryland,1966,"",3695
North Carolina,1978,"",5759
Oklahoma,1969,"",2535
Oklahoma,1987,"",3210
Pennsylvania,1978,"",11879
Rhode Island,2010,49571.8,1054
Tennessee,1982,"",4646
Virginia,1990,"",6217
Virginia,2010,422902,8024
