State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Alabama,1980,"",3900
Connecticut,2018,275726.9,3572
Georgia,1972,"",4809
Georgia,1992,"",6817
Illinois,1967,"",10947
Maine,1973,"",1046
Maine,1985,"",1163
Massachusetts,1963,"",5344
Michigan,1975,"",9118
Minnesota,1974,"",3904
Nebraska,2017,120517.4,1916
New Jersey,1986,"",7622
Pennsylvania,1992,"",12049
Vermont,2009,25867.8,625
