State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Arizona,1984,"",3067
Delaware,1992,"",695
Hawaii,1974,"",868
Iowa,1981,"",2908
Massachusetts,2009,391265.1,6518
Michigan,2003,373839.3,10041
Minnesota,2016,339100.1,5523
Montana,1981,"",795
New Hampshire,1974,"",816
Oregon,2002,121229.5,3513
Utah,1998,62291.4,2166
Washington,1972,"",3448
