State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Hawaii,2006,62365,1310
Louisiana,1962,"",3345
Massachusetts,1965,"",5502
Minnesota,2017,351416.8,5566
New Jersey,1961,"",6265
New Jersey,1978,"",7351
Rhode Island,1969,"",932
South Carolina,1992,"",3620
South Dakota,1963,"",708
Utah,1973,"",1170
Utah,1974,"",1200
Vermont,1974,"",473
Virginia,2005,360299.8,7577
