State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Arkansas,2004,84624.5,2750
Arkansas,2009,97058.9,2897
California,2016,2657797.6,39167
Colorado,2014,306571.1,5350
Delaware,2001,46448.3,796
Florida,1987,"",11997
Hawaii,1999,39250.4,1210
Hawaii,2009,65692,1347
Idaho,1962,"",692
Illinois,1972,"",11252
Iowa,2006,126884.2,2983
Louisiana,1996,"",4399
Mississippi,1991,"",2599
Montana,1996,"",886
Nebraska,1984,"",1589
Nevada,2004,104420.6,2346
New Hampshire,1999,41880,1222
North Dakota,2014,58650,737
Utah,1993,"",1898
Vermont,1979,"",505
Washington,2013,419345,6964
