State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Arizona,1985,"",3184
California,1968,"",19394
Delaware,2011,60357.4,907
Kansas,1979,"",2351
Kentucky,1992,"",3765
Louisiana,1995,"",4379
Maine,1983,"",1145
Massachusetts,1964,"",5448
Michigan,2013,432717.6,9913
Mississippi,2000,65645.9,2848
Nevada,2018,169309.9,3027
North Carolina,1981,"",5957
North Carolina,2008,413363.3,9309
Ohio,1974,"",10766
Ohio,2011,525388.4,11543
Tennessee,1983,"",4660
Utah,2001,73226,2284
Wisconsin,1977,"",4627
