State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Alaska,2004,34970.7,659
Arizona,1982,"",2890
Florida,1994,"",14239
Hawaii,2010,68196.9,1364
Illinois,1960,"",10086
Indiana,1973,"",5338
Indiana,1979,"",5501
Minnesota,1995,"",4660
Montana,1999,20829.9,898
Nebraska,1983,"",1584
Nevada,1991,"",1296
New Mexico,2008,83724.2,2011
New York,1976,"",17941
North Dakota,1977,"",650
Oregon,1963,"",1853
Oregon,1964,"",1888
Oregon,1998,105111.5,3352
Pennsylvania,2006,526396.3,12511
Rhode Island,1978,"",952
Wyoming,1969,"",329
