State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Arizona,2002,179413.3,5396
Arkansas,1985,"",2327
Colorado,1967,"",2053
Colorado,1981,"",2978
Connecticut,2014,248865.2,3595
Delaware,1966,"",516
Florida,2017,985665.4,20964
Hawaii,1969,"",750
Hawaii,1970,"",774
Michigan,1967,"",8630
Mississippi,1994,"",2689
Missouri,1992,"",5217
Montana,1970,"",698
Montana,1984,"",821
New Jersey,2001,373755.6,8493
New York,2004,955192,19172
North Dakota,1964,"",649
Utah,1975,"",1236
Virginia,1995,"",6671
Virginia,1996,"",6751
West Virginia,2007,58635.8,1834
Wisconsin,1979,"",4683
