State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Delaware,1968,"",534
Delaware,1998,36783.2,763
District of Columbia,1973,"",731
Illinois,1963,"",10402
Indiana,2011,288749.1,6516
Kansas,2005,103936.6,2745
Missouri,2001,191199,5641
New Jersey,1969,"",7095
New Mexico,1996,"",1752
South Carolina,1987,"",3381
South Carolina,2009,159835.6,4590
Texas,1990,"",17057
Texas,2005,986401.3,22778
