State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Alabama,1981,"",3919
Arkansas,1978,"",2243
California,1970,"",20007
California,2003,1527294,35253
Colorado,1982,"",3062
Colorado,1989,"",3276
District of Columbia,1966,"",791
Mississippi,2013,101638.1,2989
Montana,1969,"",694
New Mexico,1977,"",1216
New York,1986,"",17833
South Carolina,1970,"",2597
South Carolina,2003,130337.4,4150
Tennessee,2011,267659.1,6397
Washington,2012,400863.3,6897
West Virginia,1986,"",1882
Wyoming,1975,"",382
