State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Alabama,1960,"",3274
Alabama,1991,"",4099
Delaware,1971,"",565
Indiana,2014,324934.5,6594
Minnesota,1971,"",3853
Nevada,1960,"",291
New Hampshire,2013,70181.9,1327
Oregon,1997,100888.6,3304
Rhode Island,1973,"",976
Washington,2004,270115.2,6179
