State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Alabama,1975,"",3679
District of Columbia,2002,70054.7,573
Hawaii,1981,"",978
New Hampshire,1977,"",870
New Mexico,1975,"",1160
New Mexico,1984,"",1417
Ohio,1969,"",10563
Oklahoma,1976,"",2827
South Dakota,1986,"",696
Texas,2016,1565632.2,27914
United States,1986,"",240133
Utah,1966,"",1009
Virginia,1961,"",4095
