State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Connecticut,1979,"",3096
District of Columbia,1968,"",778
District of Columbia,1983,"",632
Florida,1998,430064.2,15487
Idaho,1971,"",739
Idaho,2015,66004.3,1651
Massachusetts,1971,"",5738
Missouri,2008,250581.1,5924
New Mexico,1991,"",1555
North Dakota,1996,"",650
Oregon,1985,"",2673
South Carolina,1978,"",3044
South Dakota,1995,"",738
