State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Delaware,1990,"",670
Georgia,1987,"",6208
Hawaii,2007,65233.5,1316
Illinois,1995,"",12008
Kansas,1968,"",2216
Maryland,1970,"",3938
Maryland,1981,"",4262
Massachusetts,1995,"",6141
Minnesota,1998,166292.7,4813
Nevada,2014,135153.2,2818
North Dakota,1988,"",655
Oklahoma,1964,"",2446
West Virginia,1990,"",1793
