State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Hawaii,1991,"",1137
Idaho,1996,"",1203
Illinois,1975,"",11292
Illinois,2001,502260.3,12488
Illinois,2013,739627.9,12895
Iowa,1987,"",2767
Kansas,1973,"",2266
Maryland,1983,"",4313
Massachusetts,2002,303967.1,6417
Michigan,2010,386625.9,9878
Minnesota,1961,"",3470
Missouri,1980,"",4922
Missouri,1991,"",5171
Nevada,2006,127575.7,2523
Ohio,2014,593355.1,11603
Oklahoma,1986,"",3253
Oklahoma,2002,99163,3489
South Dakota,2008,36668.5,799
Utah,2003,79149.1,2360
Washington,2000,237831.8,5911
