State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Alabama,2012,186299,4816
Arizona,2018,348297.1,7158
Arkansas,1990,"",2357
California,1987,"",27777
California,1994,"",31484
Colorado,2007,246043.5,4804
Georgia,1997,242596.2,7685
Indiana,1976,"",5389
Kansas,2017,161219.6,2909
Michigan,2016,491774.2,9951
Minnesota,1977,"",3989
Missouri,1971,"",4726
New Hampshire,1962,"",632
South Dakota,1976,"",686
Utah,2004,85701.9,2402
Vermont,1998,16073.1,600
Wisconsin,1973,"",4524
