State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Alaska,2009,49585.9,699
California,2015,2553772.2,38918
Colorado,2011,264431.6,5122
Connecticut,1962,"",2647
Florida,1967,"",6242
Iowa,2005,122224,2964
Kentucky,1979,"",3642
North Dakota,1998,16792.7,648
United States,1969,"",202677
Utah,1960,"",900
Virginia,1988,"",6037
Wyoming,1967,"",322
