State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Alaska,1961,"",238
Alaska,1979,"",403
Arizona,2005,228231.2,5839
Connecticut,2002,176208.2,3459
Illinois,2016,806315.5,12821
Maine,1986,"",1170
Missouri,1983,"",4944
North Carolina,2004,328037.6,8553
Ohio,1985,"",10735
Tennessee,2002,195289.2,5796
Utah,1994,"",1960
Virginia,1969,"",4614
Washington,1981,"",4236
