State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Arizona,1983,"",2969
California,1979,"",23257
Connecticut,1992,"",3301
Hawaii,1961,"",659
Hawaii,2013,75788.3,1408
Illinois,1980,"",11435
Indiana,1990,"",5558
Iowa,1984,"",2859
Kansas,1976,"",2301
Michigan,1960,"",7834
Mississippi,2009,93205.6,2959
Missouri,1968,"",4568
Nevada,1972,"",547
Oklahoma,1978,"",2917
Oregon,2016,215050.4,4090
Pennsylvania,1981,"",11859
Utah,2010,117960.5,2775
