State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Arkansas,1961,"",1806
Connecticut,1960,"",2544
Montana,1978,"",782
Nebraska,1997,49886,1686
New Jersey,1992,"",7881
New York,1970,"",18268
North Dakota,1970,"",620
Pennsylvania,1987,"",11811
South Dakota,1960,"",683
Washington,1988,"",4640
West Virginia,1992,"",1806
Wyoming,2013,38922.5,582
