State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Alabama,1976,"",3735
Alabama,2018,221735.5,4888
Arkansas,1982,"",2294
Iowa,1960,"",2756
Kansas,1988,"",2462
Kentucky,1989,"",3677
Nebraska,2015,115328,1891
New Mexico,2003,62895.9,1878
New Mexico,2010,83989.2,2065
New York,2007,1108896,19132
South Dakota,1969,"",668
Utah,1961,"",936
Vermont,2000,18311.9,610
