State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Arizona,1964,"",1556
Arkansas,1972,"",2019
Connecticut,1996,"",3337
Georgia,1985,"",5963
Maine,1978,"",1114
Missouri,2000,187296.8,5607
Nebraska,2000,56503.7,1714
New Jersey,1995,"",8083
Pennsylvania,1999,389715.7,12264
Washington,1997,193897.6,5675
West Virginia,2001,43977.6,1801
West Virginia,2013,71037.6,1854
Wisconsin,2009,245539,5669
