State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Alabama,1984,"",3952
Alaska,1992,"",589
Arizona,1961,"",1407
Hawaii,2001,42894.3,1226
Indiana,2009,261238.3,6459
Montana,1985,"",822
Montana,1986,"",814
Nevada,2013,130621.4,2776
North Carolina,1964,"",4802
North Carolina,1983,"",6077
Ohio,1992,"",11029
Rhode Island,1976,"",946
South Dakota,2011,41541.5,823
Texas,1996,"",19340
Washington,1968,"",3270
Wyoming,1980,"",474
