State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Colorado,1979,"",2849
Georgia,1989,"",6411
Georgia,2014,485816.7,10067
Idaho,1970,"",718
Kentucky,1960,"",3041
Minnesota,1964,"",3558
Mississippi,1969,"",2220
Montana,1992,"",826
New York,1983,"",17687
Ohio,1963,"",9986
Oregon,1995,"",3184
West Virginia,1987,"",1858
