State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Arizona,1993,"",4065
Idaho,1961,"",684
Kansas,2015,152374.1,2909
Massachusetts,1983,"",5799
Michigan,1990,"",9311
Missouri,2016,297582.6,6087
New Jersey,1976,"",7340
New Jersey,1990,"",7763
New Mexico,1998,50682.3,1793
Ohio,1978,"",10796
Rhode Island,1971,"",963
Rhode Island,1982,"",954
Tennessee,1972,"",4095
Texas,2007,1178583.1,23832
United States,1982,"",231664
West Virginia,2006,56530,1828
Wisconsin,1970,"",4429
