State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
California,1966,"",18858
Delaware,1988,"",648
Florida,1982,"",10471
Georgia,1984,"",5835
Idaho,2018,77052,1751
New Hampshire,1973,"",801
New Hampshire,2005,56352.1,1298
New Mexico,1976,"",1189
Ohio,1962,"",9929
Ohio,1979,"",10798
Oregon,1970,"",2101
Rhode Island,1992,"",1013
South Carolina,1991,"",3570
Tennessee,1989,"",4854
United States,1997,8577600,272647
West Virginia,1977,"",1908
Wisconsin,1990,"",4905
