State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Connecticut,1965,"",2857
Connecticut,1988,"",3272
District of Columbia,1963,"",798
Indiana,1975,"",5366
Louisiana,2011,228987.5,4575
Massachusetts,1982,"",5771
Michigan,1991,"",9400
Montana,1990,"",800
Nebraska,1961,"",1446
New Hampshire,2002,48678.5,1269
New York,2010,1213946.9,19400
North Carolina,2013,455521.6,9843
Oregon,1960,"",1772
South Dakota,1992,"",713
Washington,1962,"",2942
