State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Kansas,1990,"",2481
Kentucky,1966,"",3147
Maryland,2016,384889.1,6003
Nebraska,2011,99613.4,1841
New Mexico,1978,"",1238
Oklahoma,1989,"",3150
Oregon,1971,"",2151
Rhode Island,1960,"",855
Rhode Island,1993,"",1015
Rhode Island,2016,57693.9,1057
Tennessee,2004,218020.6,5911
West Virginia,1970,"",1751
Wyoming,1962,"",333
