State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Alaska,1963,"",256
California,1990,"",29960
Connecticut,2007,237542.7,3527
Georgia,1974,"",4999
Idaho,2010,55170.7,1571
Illinois,1990,"",11453
Kansas,2011,135315.3,2869
Maryland,1993,"",4972
Missouri,1984,"",4975
Montana,1979,"",787
North Carolina,1990,"",6664
North Carolina,2014,475994.6,9933
South Carolina,1968,"",2559
South Carolina,2000,115246.8,4024
South Dakota,2007,34701.6,792
Tennessee,2013,292803.9,6494
Utah,2008,115985.4,2663
Virginia,1960,"",3986
Virginia,2009,408918.7,7926
